-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::threshold_backward         0.06%      12.139us         0.10%      20.549us      20.549us       2.432us         0.01%       2.432us       2.432us             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.432us         0.01%       2.432us       2.432us             1  
                                             aten::relu         0.02%       3.840us         0.06%      12.829us      12.829us       0.000us         0.00%       1.728us       1.728us             1  
                                        aten::clamp_min         0.02%       4.880us         0.04%       8.989us       8.989us       1.728us         0.01%       1.728us       1.728us             1  
void cask__5x_cudnn::computeOffsetsKernel<false, fal...         0.00%       0.000us         0.00%       0.000us       0.000us       1.600us         0.01%       1.600us       1.600us             1  
void gemmk1_kernel<int, float, 256, 5, false, false,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.504us         0.01%       1.504us       1.504us             1  
                                        aten::ones_like         0.01%       1.450us         0.07%      14.570us      14.570us       0.000us         0.00%       1.152us       1.152us             1  
                                            aten::fill_         0.02%       3.670us         0.04%       8.350us       8.350us       1.152us         0.01%       1.152us       1.152us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.152us         0.01%       1.152us       1.152us             1  
                                    aten::empty_strided         1.13%     241.555us         1.13%     241.555us       2.626us       0.000us         0.00%       0.000us       0.000us            92  
                                        cudaMemcpyAsync        71.02%      15.235ms        71.02%      15.235ms     167.416us       0.000us         0.00%       0.000us       0.000us            91  
                                           aten::detach         0.02%       3.240us         0.04%       8.750us       2.188us       0.000us         0.00%       0.000us       0.000us             4  
                                                 detach         0.03%       5.510us         0.03%       5.510us       1.378us       0.000us         0.00%       0.000us       0.000us             4  
                                          aten::permute         1.16%     249.647us         1.54%     331.404us       3.314us       0.000us         0.00%       0.000us       0.000us           100  
                                       aten::as_strided         0.41%      87.227us         0.41%      87.227us       0.815us       0.000us         0.00%       0.000us       0.000us           107  
                                       aten::empty_like         0.19%      40.840us         0.85%     182.396us       3.648us       0.000us         0.00%       0.000us       0.000us            50  
                                            aten::empty         0.94%     202.433us         0.94%     202.433us       3.114us       0.000us         0.00%       0.000us       0.000us            65  
                                       cudaLaunchKernel         6.00%       1.286ms         6.00%       1.286ms       4.747us       0.000us         0.00%       0.000us       0.000us           271  
                                    cudaPeekAtLastError         0.02%       4.700us         0.02%       4.700us       0.076us       0.000us         0.00%       0.000us       0.000us            62  
                                        cudaMemsetAsync         0.13%      27.520us         0.13%      27.520us       3.440us       0.000us         0.00%       0.000us       0.000us             8  
                                             aten::view         0.22%      46.249us         0.22%      46.249us       2.569us       0.000us         0.00%       0.000us       0.000us            18  
                                  cudaFuncGetAttributes         0.10%      21.629us         0.10%      21.629us       2.163us       0.000us         0.00%       0.000us       0.000us            10  
                                    cudaLaunchKernelExC         0.25%      53.479us         0.25%      53.479us       3.342us       0.000us         0.00%       0.000us       0.000us            16  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.07%      15.370us         0.07%      15.370us       1.397us       0.000us         0.00%       0.000us       0.000us            11  
                                   cudaFuncSetAttribute         0.03%       7.280us         0.03%       7.280us       0.728us       0.000us         0.00%       0.000us       0.000us            10  
      autograd::engine::evaluate_function: SumBackward0         0.04%       7.980us         0.07%      15.910us      15.910us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.450ms
Self CUDA time total: 21.999ms

