step,normalized_l2_nf4,normalized_l2_fp4,normalized_l2_int8,normalized_l2_fp8
186,0.093006,0.145107,0.023846,0.036324
187,0.093070,0.145192,0.023899,0.036401
188,0.093133,0.145276,0.023949,0.036478
189,0.093198,0.145357,0.023998,0.036552
190,0.093262,0.145440,0.024049,0.036625
191,0.093324,0.145522,0.024098,0.036699
192,0.093389,0.145601,0.024145,0.036774
193,0.093451,0.145680,0.024195,0.036847
194,0.093515,0.145759,0.024243,0.036919
195,0.093581,0.145838,0.024293,0.036991
196,0.093646,0.145916,0.024340,0.037062
197,0.093709,0.145993,0.024388,0.037135
198,0.093770,0.146069,0.024435,0.037204
199,0.093833,0.146146,0.024482,0.037272
